Question,Correct Answer
What information must the controller provide to the data subject in addition to the information listed in paragraph 1 of Article 14?,"The controller must provide the data subject with the period for which the personal data will be stored or the criteria used to determine that period, the legitimate interests pursued by the controller or by a third party if the processing is based on point (f) of Article 6(1), the right to request access to and rectification or erasure of personal data or restriction of processing concerning the data subject and to object to processing as well as the right to data portability, the existence of the right to withdraw consent at any time if processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the right to lodge a complaint with a supervisory authority, from which source the personal data originate, and if applicable, whether it came from publicly accessible sources, the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject."
What information must the controller provide to the data subject when they request access to their personal data under Article 15?,"The controller must provide confirmation as to whether or not personal data concerning the data subject are being processed, and, where that is the case, access to the personal data and the following information: (a) the purposes of the processing; (b) the categories of personal data concerned; (c) the recipients or categories of recipient to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations; (d) where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period; (e) the existence of the right to request from the controller rectification or erasure of personal data or restriction of processing of personal data concerning the data subject or to object to such processing; (f) the right to lodge a complaint with a supervisory authority; (g) where the personal data are not collected from the data subject, any available information as to their source; (h) the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject."
What is the right granted to the data subject in Article 16 of the GDPR?,"The right to obtain from the controller without undue delay the rectification of inaccurate personal data concerning him or her. Taking into account the purposes of the processing, the data subject shall have the right to have incomplete personal data completed, including by means of providing a supplementary statement."
What are the grounds for a data subject to request erasure of their personal data according to Article 17?,"The grounds for a data subject to request erasure of their personal data according to Article 17 are: (a) the personal data are no longer necessary in relation to the purposes for which they were collected or otherwise processed; (b) the data subject withdraws consent on which the processing is based according to point (a) of Article 6(1), or point (a) of Article 9(2), and where there is no other legal ground for the processing; (c) the data subject objects to the processing pursuant to Article 21(1) and there are no overriding legitimate grounds for the processing, or the data subject objects to the processing pursuant to Article 21(2); (d) the personal data have been unlawfully processed; (e) the personal data have to be erased for compliance with a legal obligation in Union or Member State law to which the controller is subject; (f) the personal data have been collected in relation to the offer of information society services referred to in Article 8(1)."
What are the circumstances under which a data subject can request restriction of processing according to Article 18?,"A data subject can request restriction of processing if (a) the accuracy of the personal data is contested, (b) the processing is unlawful and the data subject opposes erasure, (c) the controller no longer needs the data but the data subject requires it for legal claims, or (d) the data subject has objected to processing pending verification of legitimate grounds."
What is the notification obligation of the controller regarding rectification or erasure of personal data or restriction of processing according to Article 19 of the GDPR?,"The controller shall communicate any rectification or erasure of personal data or restriction of processing carried out in accordance with Article 16, Article 17(1) and Article 18 to each recipient to whom the personal data have been disclosed, unless this proves impossible or involves disproportionate effort. The controller shall inform the data subject about those recipients if the data subject requests it."
What is the right granted to the data subject in Article 20 of the GDPR?,"The data subject shall have the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used and machine-readable format and have the right to transmit those data to another controller without hindrance from the controller to which the personal data have been provided."
What is the right granted to the data subject in Article 21?,"The data subject shall have the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her which is based on point (e) or (f) of Article 6(1), including profiling based on those provisions."
What is the right of the data subject under Article 22?,"The data subject shall have the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects concerning him or her or similarly significantly affects him or her."
"Under what circumstances can Union or Member State law restrict the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5?","Union or Member State law may restrict the scope of the obligations and rights provided for in Articles 12 to 22 and Article 34, as well as Article 5, when such a restriction respects the essence of the fundamental rights and freedoms and is a necessary and proportionate measure in a democratic society to safeguard national security, defence, public security, the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security, other important objectives of general public interest of the Union or of a Member State, in particular an important economic or financial interest of the Union or of a Member State, including monetary, budgetary and taxation a matters, public health and social security, the protection of judicial independence and judicial proceedings, the prevention, investigation, detection and prosecution of breaches of ethics for regulated professions, a monitoring, inspection or regulatory function connected, even occasionally, to the exercise of official authority in the cases referred to in points (a) to (e) and (g), the protection of the data subject or the rights and freedoms of others, or the enforcement of civil law claims."
What measures should the controller implement to ensure and demonstrate that processing is performed in accordance with the GDPR Regulation?,"The controller shall implement appropriate technical and organisational measures, reviewed and updated where necessary, taking into account the nature, scope, context and purposes of processing as well as the risks of varying likelihood and severity for the rights and freedoms of natural persons. Where proportionate in relation to processing activities, the measures shall include the implementation of appropriate data protection policies."
What are the two types of measures that the controller must implement according to Article 25?,"The controller must implement appropriate technical and organisational measures to implement data-protection principles, such as data minimisation, and to ensure that only necessary personal data are processed."
What are the responsibilities of joint controllers under Article 26 of the GDPR Regulation?,"Joint controllers must determine their respective responsibilities for compliance with the obligations under this Regulation, in particular as regards the exercising of the rights of the data subject and their respective duties to provide the information referred to in Articles 13 and 14, by means of an arrangement between them unless, and in so far as, the respective responsibilities of the controllers are determined by Union or Member State law to which the controllers are subject. The arrangement may designate a contact point for data subjects. The arrangement shall duly reflect the respective roles and relationships of the joint controllers vis-à-vis the data subjects. The essence of the arrangement shall be made available to the data subject. Irrespective of the terms of the arrangement referred to in paragraph 1, the data subject may exercise his or her rights under this Regulation in respect of and against each of the controllers."
When is a controller or processor not established in the Union exempt from designating a representative in the Union under Article 27?,"The obligation laid down in paragraph 1 of this Article shall not apply to: (a) processing which is occasional, does not include, on a large scale, processing of special categories of data as referred to in Article 9(1) or processing of personal data relating to criminal convictions and offences referred to in Article 10, and is unlikely to result in a risk to the rights and freedoms of natural persons, taking into account the nature, context, scope and purposes of the processing; or (b) a public authority or body."
"What are the obligations of a processor under a contract or other legal act with the controller, according to Article 28?","The obligations of a processor under a contract or other legal act with the controller, according to Article 28, include processing personal data only on documented instructions from the controller, ensuring confidentiality of persons authorized to process the data, taking all measures required pursuant to Article 32, respecting the conditions for engaging another processor, assisting the controller by appropriate technical and organizational measures, assisting the controller in ensuring compliance with the obligations pursuant to Articles 32 to 36, deleting or returning all the personal data to the controller after the end of the provision of services relating to processing, making available to the controller all information necessary to demonstrate compliance with the obligations laid down in this Article and allow for and contribute to audits, including inspections, conducted by the controller or another auditor mandated by the controller, and immediately informing the controller if, in its opinion, an instruction infringes this Regulation or other Union or Member State data protection provisions."
Under what circumstances can the processor or any person acting under the authority of the controller or processor process personal data?,"The processor and any person acting under the authority of the controller or of the processor, who has access to personal data, shall not process those data except on instructions from the controller, unless required to do so by Union or Member State law."
What information should be included in the record of processing activities maintained by a controller according to Article 30?,"The record of processing activities maintained by a controller should contain the name and contact details of the controller and, where applicable, the joint controller, the controller's representative and the data protection officer; the purposes of the processing; a description of the categories of data subjects and of the categories of personal data; the categories of recipients to whom the personal data have been or will be disclosed including recipients in third countries or international organisations; where applicable, transfers of personal data to a third country or an international organisation, including the identification of that third country or international organisation and, in the case of transfers referred to in the second subparagraph of Article 49(1), the documentation of suitable safeguards; where possible, the envisaged time limits for erasure of the different categories of data; where possible, a general description of the technical and organisational security measures referred to in Article 32(1)."
Who is required to cooperate with the supervisory authority upon request in the performance of its tasks according to Article 31 of the GDPR?,"The controller and the processor and, where applicable, their representatives."
What are the four technical and organisational measures that the controller and processor should implement to ensure a level of security appropriate to the risk?,"The four technical and organisational measures that the controller and processor should implement to ensure a level of security appropriate to the risk are: (a) the pseudonymisation and encryption of personal data; (b) the ability to ensure the ongoing confidentiality, integrity, availability and resilience of processing systems and services; (c) the ability to restore the availability and access to personal data in a timely manner in the event of a physical or technical incident; (d) a process for regularly testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the processing."
What is the time limit for a controller to notify the supervisory authority of a personal data breach?,"The controller shall without undue delay and, where feasible, not later than 72 hours after having become aware of it, notify the personal data breach to the supervisory authority competent in accordance with Article 55, unless the personal data breach is unlikely to result in a risk to the rights and freedoms of natural persons."
When is a controller not required to communicate a personal data breach to the data subject according to Article 34?,"The controller is not required to communicate a personal data breach to the data subject if any of the following conditions are met: (a) the controller has implemented appropriate technical and organisational protection measures, and those measures were applied to the personal data affected by the personal data breach, in particular those that render the personal data unintelligible to any person who is not authorised to access it, such as encryption; (b) the controller has taken subsequent measures which ensure that the high risk to the rights and freedoms of data subjects referred to in paragraph 1 is no longer likely to materialise; (c) it would involve disproportionate effort. In such a case, there shall instead be a public communication or similar measure whereby the data subjects are informed in an equally effective manner."
When is a data protection impact assessment required according to Article 35?,"A data protection impact assessment is required when a type of processing in particular using new technologies, and taking into account the nature, scope, context and purposes of the processing, is likely to result in a high risk to the rights and freedoms of natural persons. It is also required in specific cases such as systematic and extensive evaluation of personal aspects relating to natural persons which is based on automated processing, including profiling, and on which decisions are based that produce legal effects concerning the natural person or similarly significantly affect the natural person; processing on a large scale of special categories of data referred to in Article 9(1), or of personal data relating to criminal convictions and offences referred to in Article 10; or a systematic monitoring of a publicly accessible area on a large scale."
When is a controller required to consult the supervisory authority prior to processing?,The controller shall consult the supervisory authority prior to processing where a data protection impact assessment under Article 35 indicates that the processing would result in a high risk in the absence of measures taken by the controller to mitigate the risk.
Under what circumstances must a controller or processor designate a data protection officer?,"A controller or processor must designate a data protection officer in any case where: a) the processing is carried out by a public authority or body, except for courts acting in their judicial capacity; b) the core activities of the controller or the processor consist of processing operations which, by virtue of their nature, their scope and/or their purposes, require regular and systematic monitoring of data subjects on a large scale; or c) the core activities of the controller or the processor consist of processing on a large scale of special categories of data pursuant to Article 9 and personal data relating to criminal convictions and offences referred to in Article 10."
What are the tasks of the data protection officer according to Article 39 of the GDPR?,"The data protection officer shall have at least the following tasks: to inform and advise the controller or the processor and the employees who carry out processing of their obligations pursuant to this Regulation and to other Union or Member State data protection provisions; to monitor compliance with this Regulation, with other Union or Member State data protection provisions and with the policies of the controller or processor in relation to the protection of personal data, including the assignment of responsibilities, awareness-raising and training of staff involved in processing operations, and the related audits; to provide advice where requested as regards the data protection impact assessment and monitor its performance pursuant to Article 35; to cooperate with the supervisory authority; to act as the contact point for the supervisory authority on issues relating to processing, including the prior consultation referred to in Article 36, and to consult, where appropriate, with regard to any other matter."
What is the role of the data protection officer according to Article 38 of the GDPR?,"The data protection officer is responsible for being involved in all issues related to the protection of personal data, performing tasks referred to in Article 39, being supported by the controller and processor with necessary resources and access to personal data, reporting directly to the highest management level, being bound by secrecy or confidentiality, and being able to fulfill other tasks and duties as long as they do not result in a conflict of interests."
What is the purpose of codes of conduct under Article 40 of the GDPR Regulation?,"The purpose of codes of conduct under Article 40 of the GDPR Regulation is to contribute to the proper application of the Regulation, taking account of the specific features of the various processing sectors and the specific needs of micro, small and medium-sized enterprises."
What are the criteria that a body must meet to be accredited to monitor compliance with a code of conduct under Article 41?,"The body must demonstrate its independence and expertise in relation to the subject-matter of the code to the satisfaction of the competent supervisory authority, establish procedures to assess the eligibility of controllers and processors concerned to apply the code, monitor their compliance with its provisions and periodically review its operation, establish procedures and structures to handle complaints about infringements of the code or the manner in which the code has been, or is being, implemented by a controller or processor, and demonstrate to the satisfaction of the competent supervisory authority that its tasks and duties do not result in a conflict of interests."
What is the purpose of data protection certification mechanisms and seals according to Article 42?,"The purpose of data protection certification mechanisms and seals is to demonstrate compliance with GDPR regulations of processing operations by controllers and processors, and to establish appropriate safeguards for personal data transfers to third countries or international organizations."
What are the requirements for certification bodies to be accredited in accordance with paragraph 1 of Article 43?,"Certification bodies referred to in paragraph 1 shall be accredited in accordance with that paragraph only where they have demonstrated their independence and expertise in relation to the subject-matter of the certification to the satisfaction of the competent supervisory authority; undertaken to respect the criteria referred to in Article 42(5) and approved by the supervisory authority which is competent pursuant to Article 55 or 56 or by the Board pursuant to Article 63; established procedures for the issuing, periodic review and withdrawal of data protection certification, seals and marks; established procedures and structures to handle complaints about infringements of the certification or the manner in which the certification has been, or is being, implemented by the controller or processor, and to make those procedures and structures transparent to data subjects and the public; and demonstrated, to the satisfaction of the competent supervisory authority, that their tasks and duties do not result in a conflict of interests."
Under what conditions can a transfer of personal data to a third country or international organization take place according to Article 44 of the GDPR?,"A transfer of personal data to a third country or international organization can take place only if the conditions laid down in Chapter V of the GDPR are complied with by the controller and processor, including for onward transfers of personal data from the third country or an international organization to another third country or to another international organization."
What are the requirements for certification bodies to be accredited in accordance with paragraph 1 of Article 43?,"Certification bodies referred to in paragraph 1 shall be accredited in accordance with that paragraph only where they have demonstrated their independence and expertise in relation to the subject-matter of the certification to the satisfaction of the competent supervisory authority; undertaken to respect the criteria referred to in Article 42(5) and approved by the supervisory authority which is competent pursuant to Article 55 or 56 or by the Board pursuant to Article 63; established procedures for the issuing, periodic review and withdrawal of data protection certification, seals and marks; established procedures and structures to handle complaints about infringements of the certification or the manner in which the certification has been, or is being, implemented by the controller or processor, and to make those procedures and structures transparent to data subjects and the public; and demonstrated, to the satisfaction of the competent supervisory authority, that their tasks and duties do not result in a conflict of interests."
"What are the elements that the Commission takes into account when assessing the adequacy of the level of protection in a third country or international organization, according to Article 45?","The Commission shall take account of the following elements: a) the rule of law, respect for human rights and fundamental freedoms, relevant legislation, both general and sectoral, including concerning public security, defence, national security and criminal law and the access of public authorities to personal data, as well as the implementation of such legislation, data protection rules, professional rules and security measures, including rules for the onward transfer of personal data to another third country or international organisation which are complied with in that country or international organisation, case-law, as well as effective and enforceable data subject rights and effective administrative and judicial redress for the data subjects whose personal data are being transferred; b) the existence and effective functioning of one or more independent supervisory authorities in the third country or to which an international organisation is subject, with responsibility for ensuring and enforcing compliance with the data protection rules, including adequate enforcement powers, for assisting and advising the data subjects in exercising their rights and for cooperation with the supervisory authorities of the Member States; and c) the international commitments the third country or international organisation concerned has entered into, or other obligations arising from legally binding conventions or instruments as well as from its participation in multilateral or regional systems, in particular in relation to the protection of personal data."
Under what conditions can a controller or processor transfer personal data to a third country or international organization?,"A controller or processor may transfer personal data to a third country or an international organisation only if the controller or processor has provided appropriate safeguards, and on condition that enforceable data subject rights and effective legal remedies for data subjects are available."
Under what circumstances can a judgment of a court or tribunal and any decision of an administrative authority of a third country requiring a controller or processor to transfer or disclose personal data be recognised or enforceable?,"Any judgment of a court or tribunal and any decision of an administrative authority of a third country requiring a controller or processor to transfer or disclose personal data may only be recognised or enforceable in any manner if based on an international agreement, such as a mutual legal assistance treaty, in force between the requesting third country and the Union or a Member State, without prejudice to other grounds for transfer pursuant to this Chapter."
What are the requirements that binding corporate rules must fulfill in order to be approved by the competent supervisory authority?,"Binding corporate rules must be legally binding and apply to every member concerned of the group of undertakings, expressly confer enforceable rights on data subjects with regard to the processing of their personal data, and fulfill the requirements laid down in paragraph 2 of Article 47."
Under what conditions can a transfer or set of transfers of personal data to a third country or an international organisation take place in the absence of an adequacy decision or appropriate safeguards?,"A transfer or set of transfers of personal data to a third country or an international organisation shall take place only on one of the following conditions: (a) the data subject has explicitly consented to the proposed transfer, after having been informed of the possible risks of such transfers for the data subject due to the absence of an adequacy decision and appropriate safeguards; (b) the transfer is necessary for the performance of a contract between the data subject and the controller or the implementation of pre-contractual measures taken at the data subject's request; (c) the transfer is necessary for the conclusion or performance of a contract concluded in the interest of the data subject between the controller and another natural or legal person; (d) the transfer is necessary for important reasons of public interest; (e) the transfer is necessary for the establishment, exercise or defence of legal claims; (f) the transfer is necessary in order to protect the vital interests of the data subject or of other persons, where the data subject is physically or legally incapable of giving consent; (g) the transfer is made from a register which according to Union or Member State law is intended to provide information to the public and which is open to consultation either by the public in general or by any person who can demonstrate a legitimate interest, but only to the extent that the conditions laid down by Union or Member State law for consultation are fulfilled in the particular case."
What steps should the Commission and supervisory authorities take in relation to third countries and international organisations according to Article 50 of GDPR?,"The Commission and supervisory authorities should take appropriate steps to (a) develop international cooperation mechanisms to facilitate the effective enforcement of legislation for the protection of personal data; (b) provide international mutual assistance in the enforcement of legislation for the protection of personal data, including through notification, complaint referral, investigative assistance and information exchange, subject to appropriate safeguards for the protection of personal data and other fundamental rights and freedoms; (c) engage relevant stakeholders in discussion and activities aimed at furthering international cooperation in the enforcement of legislation for the protection of personal data; (d) promote the exchange and documentation of personal data protection legislation and practice, including on jurisdic­tional conflicts with third countries."
What is the purpose of the supervisory authority established in each Member State according to Article 51 of the GDPR Regulation?,"The purpose of the supervisory authority established in each Member State is to monitor the application of the GDPR Regulation, protect the fundamental rights and freedoms of natural persons in relation to processing, and facilitate the free flow of personal data within the Union."
What is the requirement for the member or members of each supervisory authority in performing their tasks and exercising their powers?,"The member or members of each supervisory authority shall, in the performance of their tasks and exercise of their powers in accordance with this Regulation, remain free from external influence, whether direct or indirect, and shall neither seek nor take instructions from anybody."
"What are the qualifications, experience and skills required for each member of the supervisory authority according to Article 53?","Each member shall have the qualifications, experience and skills, in particular in the area of the protection of personal data, required to perform its duties and exercise its powers."
What are the six provisions that each Member State must provide by law regarding the establishment of the supervisory authority according to Article 54?,"The six provisions that each Member State must provide by law regarding the establishment of the supervisory authority according to Article 54 are: (a) the establishment of each supervisory authority; (b) the qualifications and eligibility conditions required to be appointed as a member of each supervisory authority; (c) the rules and procedures for the appointment of the member or members of each supervisory authority; (d) the duration of the term of the member or members of each supervisory authority of no less than four years, except for the first appointment after 24 May 2016, part of which may take place for a shorter period where that is necessary to protect the independence of the supervisory authority by means of a staggered appointment procedure; (e) whether and, if so, for how many terms the member or members of each supervisory authority are eligible for reappointment; and (f) the conditions governing the obligations of the member or members and staff of each supervisory authority, prohibitions on actions, occupations and benefits incompatible therewith during and after the term of office, and rules governing the cessation of employment."
Which Article of the GDPR Regulation specifies the competence of supervisory authorities?,Article 55
"According to Article 56, which supervisory authority shall be competent to act as lead supervisory authority for cross-border processing carried out by a controller or processor?",The supervisory authority of the main establishment or of the single establishment of the controller or processor shall be competent to act as lead supervisory authority for the cross-border processing carried out by that controller or processor.
What are the tasks of each supervisory authority according to Article 57 of the GDPR Regulation?,"Each supervisory authority shall monitor and enforce the application of the GDPR Regulation, promote public awareness and understanding of the risks, rules, safeguards, and rights in relation to processing, advise the national parliament, the government, and other institutions and bodies on legislative and administrative measures relating to the protection of natural persons' rights and freedoms with regard to processing, promote the awareness of controllers and processors of their obligations under this Regulation, provide information to any data subject concerning the exercise of their rights under this Regulation and, if appropriate, cooperate with the supervisory authorities in other Member States to that end, handle complaints lodged by a data subject, or by a body, organization, or association in accordance with Article 80, and investigate, to the extent appropriate, the subject matter of the complaint and inform the complainant of the progress and the outcome of the investigation within a reasonable period, in particular if further investigation or coordination with another supervisory authority is necessary, cooperate with, including sharing information and provide mutual assistance to, other supervisory authorities with a view to ensuring the consistency of application and enforcement of this Regulation, conduct investigations on the application of this Regulation, including on the basis of information received from another supervisory authority or other public authority, monitor relevant developments, insofar as they have an impact on the protection of personal data, in particular the development of information and communication technologies and commercial practices, adopt standard contractual clauses referred to in Article 28(8) and in point (d) of Article 46(2), establish and maintain a list in relation to the requirement for data protection impact assessment pursuant to Article 35(4), give advice on the processing operations referred to in Article 36(2), encourage the drawing up of codes of conduct pursuant to Article 40(1) and provide an opinion and approve such codes of conduct which provide sufficient safeguards, pursuant to Article 40(5), encourage the establishment of data protection certification mechanisms and of data protection seals and marks pursuant to Article 42(1), and approve the criteria of certification pursuant to Article 42(5), where applicable, carry out a periodic review of certifications issued in accordance with Article 42(7), draft and publish the criteria for accreditation of a body for monitoring codes of conduct pursuant to Article 41 and of a certification body pursuant to Article 43, conduct the accreditation of a body for monitoring codes of conduct pursuant to Article 41 and of a certification body pursuant to Article 43, authorize contractual clauses and provisions referred to in Article 46(3), approve binding corporate rules pursuant to Article 47, contribute to the activities of the Board, keep internal records of infringements of this Regulation and of measures taken in accordance with Article 58(2), and fulfill any other tasks related to the protection of personal data."
What are the investigative powers of each supervisory authority according to Article 58?,"Each supervisory authority shall have the power to order the controller and the processor to provide any information it requires for the performance of its tasks, carry out investigations in the form of data protection audits, carry out a review on certifications issued pursuant to Article 42(7), notify the controller or the processor of an alleged infringement of this Regulation, obtain access to all personal data and to all information necessary for the performance of its tasks, and obtain access to any premises of the controller and the processor, including to any data processing equipment and means, in accordance with Union or Member State procedural law."
What is the requirement for each supervisory authority under Article 59 of the GDPR?,"Each supervisory authority shall draw up an annual report on its activities, which may include a list of types of infringement notified and types of measures taken in accordance with Article 58(2). Those reports shall be transmitted to the national parliament, the government and other authorities as designated by Member State law. They shall be made available to the public, to the Commission and to the Board."
What is the purpose of the cooperation between the lead supervisory authority and the other supervisory authorities concerned according to Article 60?,The purpose of the cooperation is to reach consensus and exchange all relevant information with each other.
