text_segment,articles,compliance
"The company had stored some 500,000 documents containing names, addresses, dates of birth, NHS numbers and medical information and prescriptions in unsealed containers at the back of the building and failed to protect these documents from the elements, resulting in water damage to the documents.The company stored around 500,000 documents that contained the names, addresses, birth fates, and NHS identification numbers as well as medical information and prescriptions in unsealed containers at the back of a building. As a result of this, the documents were exposed to the elements which resulted in water damage and potentially to the loss of some data.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"The telecom company 1&#038;1 Telecom GmbH was fined with €9,550,000 after it came to light that sensitive customer information could be obtained by phone by anyone by just telling a client&#8217;s name and date of birth. This could have permitted anyone to obtain the personal information of any customer in case they knew their name and date of birth. The BfDI considered that the company failed to implement the necessary technical measures to ensure the protection of personal data. The BfDI further revealed that the fine was intended to be much larger but was eventually decreased due to the cooperation of the company during the investigation.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"The fine was issued after the Mayor’s Office unlawfully disclosed personal information related to a whistleblower. The individual complained to the NAIH about his employer. Afterward, the company requested information about the complaint, and the Mayor’s Office “accidentally” released the name of the complainant. The individual was fired as a result.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A healthcare center regularly audits and updates its data security practices. All digital patient records are encrypted, and access is restricted to authorized personnel only. Upon an employee's departure, their access is immediately revoked, and any physical documents are securely shredded.",Not Specified,compliant
"The Federal Commissioner for Data Protection and Freedom of Information (BfDI) ha repeatedly requested the company to appoint a data protection officer in accordance with Article 37 GDPR but even so, Rapidata GmbH refused to do so. The company was fined with €10,000.",Article 37 - Designation of the data protection officer,non-compliant
"A marketing research firm maintains detailed documentation of all data processing activities, clearly outlining the purpose, scope, and legal basis for processing, in line with GDPR requirements.",Not Specified,compliant
"A printed checklist used to verify the attendance of breakfast customers (approx. 46 clients) was photographed by unauthorized people. As a result, the personal data of those clients was disclosed to the public. The operator working for the hotel was sanctioned because of insufficient security measures.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"A hotel chain implements an automated system to erase guest data upon request or after a certain period of inactivity, complying with the right to be forgotten.",Not Specified,compliant
"The Data Protection Authority of Rheinland-Pfalz issued a fine of €105,000 after a hospital after a mixup of patients. As a consequence of this, wrong invoices were issues to the patients that released sensitive personal data.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The company continued to send emails to individuals even after the affected individuals have requested to be removed from the company&#8217;s database or be added to a &#8220;no-contact&#8221; list.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The private person has an insufficient legal basis for using a dashcam to record public road traffic and publish it on YouTube as being part of a compilation.,Article 5 - Principles relating to processing of personal data,non-compliant
The company did not comply with measures imposed by the Data Protection Authority.,Article 31 - Cooperation with the supervisory authority,non-compliant
A private enforcement agent was fined for the unlawful processing of personal data of an individual. The agent had conducted video surveillance on the individual and refused to grant access to the collected data. The affected individual submitted an application to access their personal data but the enforcement agent rejected this request and refused to motivate this decision.,Article 46 - Transfers subject to appropriate safeguards,non-compliant
An insurance company sent advertising emails to clients without the necessary consent.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
An IT company uses encrypted cloud storage solutions with strong access controls to securely store and manage client data.,Not Specified,compliant
"The Spanish Data Protection Authority revealed that Xfera Moviles S.A. has unlawfully processed data that included bank details, customer address as well as name of various individuals.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A school attempted to introduce the use of facial recognition software to facilitate the attendance process of students. The school was ultimately fined because the means used to monitor attendance were disproportionate to the goal itself. Moreover, students and their parents couldn’t freely withdraw consent from being monitored to validate attendance. Furthermore, one case of processing activity presented elevated risks since it involved children dependent on the high-school board. Ultimately, the school didn’t observe Art. 35 of the GDPR.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The Spanish Data Protection Authority determined that the company did not publish a privacy statement on its website and the short legal notice that was posted was not enough to properly identify the company and explain its data processing policies.,"Article 12 - Transparent information, communication and modalities for the exercise of the rights of the data subject",non-compliant
"A security firm implements stringent measures to protect biometric data used for access control, ensuring it is stored securely and only used for its intended purpose.",Not Specified,compliant
"The government agency was fined due to granting the police access to data and failing to implement adequate measures to secure the data, even after being warned by the national DPA.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
The SOS Infertility Association maintains transparency and cooperation with the data protection authority. They promptly provide all necessary data upon request and ensure lawful processing of client personal data.,Not Specified,compliant
"A school attempted to introduce the use of facial recognition software to facilitate the attendance process of students. The school was ultimately fined because the means used to monitor attendance were disproportionate to the goal itself. Moreover, students and their parents couldn’t freely withdraw consent from being monitored to validate attendance. Furthermore, one case of processing activity presented elevated risks since it involved children dependent on the high-school board. Ultimately, the school didn’t observe Art. 35 of the GDPR.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The data controller could not provide access to personal information to a patient because the dossier could not be identified. The patient complained to the Commissioner about this, and the hospital was fined 5.000 Euros.",Article 46 - Transfers subject to appropriate safeguards,non-compliant
"The company unlawfully processed the employer&#8217;s data while creating the illusion that it acted under the legal basis of consent. Whereas, the company was using a different legal basis. This is a strict violation of the transparency principle. Moreover, the company violated the accountability principle when it failed to bring evidence related to the proper assessment of the employer&#8217;s data using the right legal bases.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The company was fined because it processed personal data in regards to a gas contract without the applicants&#8217; consent. The investigation revealed that the applicant received an invoice for the supplying of natural gas, a contract which they didn&#8217;t sign. EDP Comercializadora argued that since the applicant had a contract with another gas company with which EDP Comercializadora had a collaboration agreement, it was justified to process the personal data of the respective individuals. The AEPD, however, ruled that the company was required to receive permission directly from the affected individuals to process personal data.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A consulting firm uses strong encryption for all internal communications, especially those involving sensitive client data.",Not Specified,compliant
The games lounge was fined because it improperly used and processed surveillance footage data.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The Italian Data Protection Authority (Garante) imposed two fines of €11,5 million total on Eni Gas and Luce because of the unlawful processing of personal data during an advertising campaign as well as for the activation of unsolicited contracts. This second fine of €3 million was issued for the opening of unsolicited contracts for the provision of electricity and gas. A large number of individuals have reported that they have only learned of the new contracts after they received a termination letter from their old provider. Some complaints even reported false data as well as forged signatures.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The company unlawfully introduced a video surveillance system at the workplace to monitor employee activity. The Hellenic Data Protection Authority (HDPA) argued that the installation of the system was unlawful because the employees were not notified of the existence of the system.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The national data protection authority determined that the company used the Bradford factor for profiling and monitoring sick leave and that this constituted unlawful processing of personal data.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A private person sent several emails containing the email addresses of several subjects, and each subject could see other recipients of that email. In the person’s mailing list, more than 131 email addresses had been found. He was accused of ten such offenses.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The data controller did not take the necessary technical measures to prevent a data breach. No further details have been disclosed.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
The website of the company did not contain a privacy policy or a cookie banner.,"Article 12 - Transparent information, communication and modalities for the exercise of the rights of the data subject",non-compliant
The company collected personal data without accurate information regarding the collection of this data.,"Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 6 - Lawfulness of processing",non-compliant
"A corporate company uses secure video conferencing tools that comply with GDPR, ensuring the privacy and security of digital meetings.",Not Specified,compliant
"A private individual created a fake profile of a female colleague on an erotic website. The profile contained the affected person&#8217;s contact details and pictures as well as information of sexual nature. The affected person then received several phone calls from several people who were inquiring about the fake profile. The person who created the fake profile was found to have a personality disorder and as such the fine was reduced from €1,000 to €800.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
A healthcare app conducts regular DPIAs to assess and mitigate risks related to the processing of sensitive health data.,Not Specified,compliant
The data processing had breached the storage limitation and data minimization principles of the GDPR.,Article 5 - Principles relating to processing of personal data,non-compliant
The data controller did not take the necessary technical measures to prevent a data breach. No further details have been disclosed.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
The complainant explained that they had sent a letter to the management of the hotel and union delegates that contained information related to an episode of alleged harassment in relation to a medical condition. The hotel management then read the contents of the letter in a meeting with other employees. This constituted a violation of the principle of integrity and confidentiality.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
UniCredit Bank opened a bank account for a person who has not requested any account to be opened. The bank allegedly had his personal data at their disposal because the affected person was responsible for closing a bank account operated by his employer. The bank was requested to prove that it had consent from the data subject to process his personal data but was unable to provide this proof.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The employer complained that the former company where he/she worked for refused to delete personal information posted on Facebook. Even after the termination of the employment contract, the company did not delete the personal information of the former employee.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The data controller had no legal basis to process data in conformity with art 6.1.b, related to the claims.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The Romanian branch of ING Bank N.V. Amsterdam was fined with €80,000 due to not respecting data protection principles (privacy by design și privacy by default) by not implementing adequate technical measures to ensure the protection of personal data. As a consequence of this, a total of 225,525 had their transactions doubled on debit card payments during the period of 8-10 October 2018.This is one of the bigger fines in Romania, but it&#8217;s interesting to note that for similar offenses in other countries fines of over several millions of Euros are usually awarded. This denotes again the fact that different countries have different approaches to GDPR enforcement.",Article 5 - Principles relating to processing of personal data,non-compliant
The company had unlawfully processed the personal data despite the subject’s request to stop doing so.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A company was fined with €294,000 because of the &#8220;unnecessarily long&#8221; storage and retention of personal data in the selection of personnel. During the selection process, even health data was requested, which was excessive according to the DPA.",Article 5 - Principles relating to processing of personal data,non-compliant
The Bulgarian Interior Ministry was fined due to the unlawful processing of the personal data of a citizen. The Interior Ministry unlawfully sent the personal data of the citizen to the Togolese Republic.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"Complaints from the employees were received that they were unlawfully filmed in the workspace.  The company failed to observe the rules pertaining to the unlawful filming of employees all the time, and the necessity of providing information related to the data processing to the employees. The CNIL performed an audit in October 2018, and the company wasn’t observing the data protection laws. Therefore, fines were issued.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A major search engine company, after receiving instructions from a data protection authority, proactively and efficiently processes requests for search result removals. The company also implements a transparent process for informing website owners about the removals without disclosing unnecessary details.",Not Specified,compliant
"Morele.net was sanctioned with a fine of PLN 2.8 million because it hadn’t ensured the proper security standards of customers’ data. As a consequence, more than 2.2 million people had their personal data accessed illegally.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"Nusvar AB, which operates the website Mrkoll.se, a site that provides information on all Swedes over the age of 16, published information on people with overdue payments.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"Further fines of between €6,000 and €17,000 were issues to the company due to the faulty storage of personal data. See the separate entry about Deutsche Wohnen SE.",Article 5 - Principles relating to processing of personal data,non-compliant
"A client had complained that AVOND COSMETICS hadn’t observed the law when it processed his personal data erroneously. His identity wasn’t properly verified, which led to the erroneous matching of that client with a register of claims. As a result, the client wasn’t able to work with his bank. Moreover, a third-party utilized the client’s personal data unlawfully.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
No further information is available.,"Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 6 - Lawfulness of processing",non-compliant
"HVV GmbH had not reported a data breach to the data protection authority in due time. This data breach was related to the security gap in the Customer E-Service, in that that clients with an HVV card who logged in the CES could access the data of other customers by changing the URL to match their data profile.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
The national data protection authority determined that the company used the Bradford factor for profiling and monitoring sick leave and that this constituted unlawful processing of personal data.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
A former customer of the company continued to receive invoice notices even after the contractual obligation between the two parties has ended. The company indicated a technical error for the issuing of the unsolicited notices.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A logistics company employs strict access management policies, ensuring employees have access only to the personal data necessary for their job functions.",Not Specified,compliant
Vodafone España has signed a contract regarding the transfer of a phone subscription with a third party person without the account holder&#8217;s knowledge or permission. The account holder received an email from the third party regarding the purchase that was made in his name.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"Vodafone Espana called the complainant to offer its services but the data subject refused. His personal data had been acquired by the company through his daughter. Despite his refusal, Vodafone Espana provided the services and demanded payment for them. Therefore, the company had unlawfully processed the complainant’s personal data without express consent.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A hack revealed the personal data that included email addresses and passwords of around 330,000 users.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
The company did not comply with measures imposed by the Data Protection Authority.,Article 31 - Cooperation with the supervisory authority,non-compliant
"A technology firm conducts quarterly data protection training for all employees, ensuring they are up-to-date on GDPR requirements and best practices in handling personal data.",Not Specified,compliant
"Despite the clear refusal of telemarketing calls by the customers, the company proceeded to ignore this because of technical errors.",Article 5 - Principles relating to processing of personal data,non-compliant
"A research agency collects only the minimal necessary personal data for surveys, adhering to the GDPR principle of data minimization.",Not Specified,compliant
"The Austrian Post had sold detailed personal profiles of approximately three million Austrians to various companies and political parties. The profiles contained names, addresses, political predilections, and even intimate details.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The company had sent a number of emails to a significant number of recipients without using the BCC feature that would have hid the email addresses of all the recipients from each other. The original fine was set at €60,000 but reduced to €36,000.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The Dutch employee insurance service provider &#8211; &#8220;Uitvoeringsinstituut Werknemersverzekeringen &#8211; UWV did not use multi-factor authentication for accessing the employer web portal. Health and safety services, as well as employers, were able to view and collect data from employees, data to which normally they should not have had access to.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"Vodafone had processed personal data of the claimant (bank details, name, surname and national identification number) years after the contractual relationsid had ended. The fine of EUR 35.000 was reduced to EUR 21.000.Vodafone processed the personal details of a former client, details that included first name, last name and national ID number, several years after their contractual relationship had ended. The initial fine was set at €35,000 but it was reduced to €21,000 due to cooperation on behalf of Vodafone Espana.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"The ICO notified the British Airways of its intention to issue a fine worth 183.39 million pounds because of an alleged infringement of Art. 31 of the GDPR. The reason for this is related to an incident which the company reported in September 2018, when the British Airways website had diverted the users’ traffic to a dangerous website. The hackers in charge of this website had stolen the personal data of more than 500.000 customers. The company had poor security mechanisms to prevent such cyber-attacks from happening.<strong>Notice:</strong> British Airways is facing a fine of €204,600,000, but this is not yet final. As such, it’s not included in our statistics dashboard.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
Improper information security measures in place.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"The Company was issued a fine because it had failed to provide the necessary security and organization measures in two cases. Firstly, it failed in the appropriate determination of the data processing means. Secondly, it failed in the appropriate implementation of necessary security safeguards, which led to the public disclosure of the personal data of over 337.042 people.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"The Italian Data Protection Authority (Garante) imposed two fines of €11,5 million total on Eni Gas and Luce because of the unlawful processing of personal data during an advertising campaign as well as for the activation of unsolicited contracts. This first fine of €8,5 million was issued for the unlawful processing of personal data in the context of a marketing campaign. The company made promotional calls without the consent of the contacted people and refused to acknowledge people&#8217;s wishes to be added onto a &#8220;do not contact&#8221; list. The company also did not provide an opt-out procedure for these unsolicited calls. The DPA also determined that the company lacked sufficient technical and organizational measures to protect users&#8217; personal data. Data was also processed longer than the allowed retention period. According to the DPA, some data was also collected from third party entities that did not have consent from the data subjects to disclose that data.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"After an inspection in 2018 when irregularities were noticed, the company IDdesign was fined. The company had overused the data of over 380.000 customers for a longer period of time than they were allowed to, as per the initial goals of the data processing. Moreover, the company had no clear deadlines regarding the deletion of personal data. The controller had also ignored the necessity of having a clear policy on the data deletion procedures.",Article 5 - Principles relating to processing of personal data,non-compliant
A company was fined with €511 because it refused to give access to the personal data of an employee who submitted an application to receive access to their personal data.,Article 46 - Transfers subject to appropriate safeguards,non-compliant
"Futura Internationale was fined because after several individuals have complained that they were cold-called by the company even after they have expressly requested not to be called again. The reason why the fine was so high relative to similar cases and fines was that the CNIL determined that the company had received a large number of letters requesting to be taken off from the call lists but decided to ignore them. More so, Futura Internationale was found to store excessive information about customers and their health data. The company did also not inform their customers about the processing of their personal data and that all telephone conversations were recorded.",Article 46 - Transfers subject to appropriate safeguards,non-compliant
"The personal data administrator unlawfully processed personal data of subject D.D related to an Employment Contract, while the subject was imprisoned.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A bank had retained the personal data of former customers in order to create a blacklist. Apparently, they wanted to prevent those customers from opening up new accounts at their bank because they were suspected of money laundering. While the bank wanted to hand-wave away this unlawful act by appealing to the German Banking Act, the Berlin Supervisory Authority found this to be illegal.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The school unlawfully published health data of multiple teachers on its website.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The company sent advertising emails to multiple recipients where every one of the recipients was able to see the email address of all other recipients. This was because the sender sent all the email addresses as CC instead of BCC.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
The company was fined because it collected personal data without providing accurate information about its data processing activities on their privacy policy page on their website.,"Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 6 - Lawfulness of processing",non-compliant
"The fine was issued after the Mayor’s Office unlawfully disclosed personal information related to a whistleblower. The individual complained to the NAIH about his employer. Afterward, the company requested information about the complaint, and the Mayor’s Office “accidentally” released the name of the complainant. The individual was fired as a result.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The company did not comply with measures imposed by the Data Protection Authority.,Article 31 - Cooperation with the supervisory authority,non-compliant
The company TODOTECNICOS24H collected personal data without accurate information regarding the collection of this data.,"Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 6 - Lawfulness of processing",non-compliant
"An online retailer verifies consent for email marketing by using a double opt-in process, ensuring GDPR compliance in their digital marketing strategies.",Not Specified,compliant
"A fine of €20,000 was issued to the Romanian national airline Tarom because it failed to implement the necessary technical measures to ensure the security of personal information. As a consequence of these inadequate measures, a Tarom employee was able to access the flight booking application without authorization and see the personal data of 22 passengers, after which the employee took a photo of the list and made it public online.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"A children's educational app developer ensures that they obtain parental consent before collecting any data from children, in compliance with GDPR's special protections for children's data.",Not Specified,compliant
The company did not provide information to the AEPD in relation to an investigation.,Article 31 - Cooperation with the supervisory authority,non-compliant
The hospital was found to create fake doctor profiles for the personnel to unlawfully access patient data. The management system found 985 registered doctors when the hospital only had 296 doctors.,"Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"The company collected data from multiple tenants without providing the option to remove that data once it was no longer required. This led to the company retaining personal data of tenants for years (salary statements, social security insurances, health insurances, tax insurances, bank statements). The Berlin Data Commissioner issued a fine of €14,500,000.",Article 5 - Principles relating to processing of personal data,non-compliant
"The company has sent several advertising messages to a person, even after the affected person made it clear that they do not consent to their personal data to be processed.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The local community of Francavilla Fontana published online the details of an ongoing court trial that included personal information such as health data of several individuals.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
BNP Paribas Personal Finance was requested to erase personal data of a client and it did not do so during the timeframe required by GDPR legislation.,"Article 14 - Information to be provided where personal data have not been obtained from the data subject, Article 6 - Lawfulness of processing",non-compliant
"The Data Protection Authority of Rheinland-Pfalz issued a fine of €105,000 after a hospital after a mixup of patients. As a consequence of this, wrong invoices were issues to the patients that released sensitive personal data.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A bank provides its customers with copies of all credit documentation upon request, including for repaid loans. They maintain a policy of transparency and right of access, complying with data protection authority guidelines.",Not Specified,compliant
"The company sold a card that was constantly tracked through GPS. The owner found this out and reported it since the company had no information related to this GPS tracking. The Czech Data Protection Authority decreed that this was a violation of Art. 5 (1) of the GDPR, and issued a fine.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
The company did not comply with measures imposed by the Data Protection Authority.,Article 31 - Cooperation with the supervisory authority,non-compliant
"A computer that belonged to the administration of the municipality was stolen. The computer was not encrypted and it included the personal identification numbers of 20,620 residents.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
"Two Belgian politicians, a city councilor and a mayor have been fined €5,000 each for sending out campaign emails to recipients who have not consented to receive such emails.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A fine of €1,022 was imposed on a national telecom company for the unlawful processing of the personal data of a citizen. The personal data of the individual was unlawfully accessed and processed in order to cancel a contract.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The company unlawfully introduced a video surveillance system at the workplace to monitor employee activity. The Hellenic Data Protection Authority (HDPA) argued that the installation of the system was unlawful because the employees were not notified of the existence of the system.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
The company was fined because it processed personal data without the consent of the affected parties.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"Vodafone Romania sent an e-mail containing personal data of a client to another unrelated client, thus breaking privacy conventions. They had improper organizational and security measures in effect at that time.","Article 5 - Principles relating to processing of personal data, Article 32 - Security of processing",non-compliant
The complainant explained that they had sent a letter to the management of the hotel and union delegates that contained information related to an episode of alleged harassment in relation to a medical condition. The hotel management then read the contents of the letter in a meeting with other employees. This constituted a violation of the principle of integrity and confidentiality.,"Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
"A customer complained that their bank account was charged for two invoices for the services the customer has purchased but on the invoices, the personal details of a third party person were displayed. Initially, the fine was determined to be €60,000 but was reduced to €48,000.","Article 35 - Data protection impact assessment, Article 6 - Lawfulness of processing",non-compliant
